,STA,MeanTemp,Snowfall,MO,ELEV,Latitude,Longitude
STA,1.0,0.16142961173137954,-0.09099569334434449,-0.07251871268637576,-0.11222912572573346,-0.5812577752525,0.6590819013179617
MeanTemp,0.16142961173137954,1.0,-0.3915365197701171,0.05912183971636741,-0.1321970958472403,-0.6301254285672996,0.04255080539456747
Snowfall,-0.09099569334434449,-0.3915365197701171,1.0,-0.06439625778331975,-0.0313245894529284,0.26026015628934523,-0.05528999239280671
MO,-0.07251871268637576,0.05912183971636741,-0.06439625778331975,1.0,-0.006803925121781172,0.024044892878328856,-0.03282205215513429
ELEV,-0.11222912572573346,-0.1321970958472403,-0.0313245894529284,-0.006803925121781172,1.0,0.06237305017355378,0.020172498293992366
Latitude,-0.5812577752525,-0.6301254285672996,0.26026015628934523,0.024044892878328856,0.06237305017355378,1.0,-0.19231220113200673
Longitude,0.6590819013179617,0.04255080539456747,-0.05528999239280671,-0.03282205215513429,0.020172498293992366,-0.19231220113200673,1.0
